GE;PE;CL;AV;planta;nota;Y
EEL;tangerina_cleopatra;24;6;1;0;0
EEL;tangerina_cleopatra;24;6;2;0;0
EEL;tangerina_cleopatra;24;6;3;0;0
EEL;tangerina_cleopatra;24;6;4;0,5;0,098
EEL;tangerina_cleopatra;24;6;5;0;0
EEL;tangerina_cleopatra;24;6;6;0;0
EEL;tangerina_cleopatra;24;6;7;0;0
EEL;tangerina_cleopatra;24;6;8;0,5;0,071
EEL;tangerina_cleopatra;24;6;9;2;0,184
EEL;tangerina_cleopatra;24;6;10;0;0
N59;tangerina_cleopatra;25;2;1;0;0
N59;tangerina_cleopatra;25;2;2;0;0
N59;tangerina_cleopatra;25;2;3;0,5;0,056
N59;tangerina_cleopatra;25;2;4;0;0
N59;tangerina_cleopatra;25;2;5;0;0
N59;tangerina_cleopatra;25;2;6;0;0
N59;tangerina_cleopatra;25;2;7;1;0,05
N59;tangerina_cleopatra;25;2;8;0;0
N59;tangerina_cleopatra;25;2;9;0;0
N59;tangerina_cleopatra;25;2;10;0;0
N59;tangerina_cleopatra;25;3;1;0;0
N59;tangerina_cleopatra;25;3;2;0;0
N59;tangerina_cleopatra;25;3;3;0,5;0,07
N59;tangerina_cleopatra;25;3;4;0;0
N59;tangerina_cleopatra;25;3;5;0,5;0,048
N59;tangerina_cleopatra;25;3;6;0;0
N59;tangerina_cleopatra;25;3;7;0;0
N59;tangerina_cleopatra;25;3;8;0,5;0,039
N59;tangerina_cleopatra;25;3;9;0,5;0,051
N59;tangerina_cleopatra;25;3;10;0;0
N59;tangerina_cleopatra;25;4;1;0;0
N59;tangerina_cleopatra;25;4;2;0;0
N59;tangerina_cleopatra;25;4;3;0;0
N59;tangerina_cleopatra;25;4;4;0;0
N59;tangerina_cleopatra;25;4;5;0;0
N59;tangerina_cleopatra;25;4;6;0;0
N59;tangerina_cleopatra;25;4;7;0;0
N59;tangerina_cleopatra;25;4;8;0;0
N59;tangerina_cleopatra;25;4;9;0;0
N59;tangerina_cleopatra;25;4;10;0;0
N59;tangerina_cleopatra;25;5;1;0;0
N59;tangerina_cleopatra;25;5;2;0;0
N59;tangerina_cleopatra;25;5;3;0,3;0,074
N59;tangerina_cleopatra;25;5;4;0;0
N59;tangerina_cleopatra;25;5;5;0,8;0,067
N59;tangerina_cleopatra;25;5;6;0;0
N59;tangerina_cleopatra;25;5;7;0;0
N59;tangerina_cleopatra;25;5;8;0;0
N59;tangerina_cleopatra;25;5;9;0;0
N59;tangerina_cleopatra;25;5;10;0;0
N59;tangerina_cleopatra;25;6;1;0;0
N59;tangerina_cleopatra;25;6;2;0;0
N59;tangerina_cleopatra;25;6;3;0;0
N59;tangerina_cleopatra;25;6;4;0;0
N59;tangerina_cleopatra;25;6;5;0;0
N59;tangerina_cleopatra;25;6;6;0;0
N59;tangerina_cleopatra;25;6;7;0;0
N59;tangerina_cleopatra;25;6;8;0;0
N59;tangerina_cleopatra;25;6;9;0,1;0,033
N59;tangerina_cleopatra;25;6;10;0;0
N58;tangerina_cleopatra;26;2;1;0;0
N58;tangerina_cleopatra;26;2;2;0;0
N58;tangerina_cleopatra;26;2;3;0;0
N58;tangerina_cleopatra;26;2;4;0;0
N58;tangerina_cleopatra;26;2;5;0;0
N58;tangerina_cleopatra;26;2;6;0;0
N58;tangerina_cleopatra;26;2;7;0;0
N58;tangerina_cleopatra;26;2;8;0;0
N58;tangerina_cleopatra;26;2;9;0;0
N58;tangerina_cleopatra;26;2;10;0;0
N58;tangerina_cleopatra;26;3;1;0,3;0,017
N58;tangerina_cleopatra;26;3;2;0;0
N58;tangerina_cleopatra;26;3;3;1;0,077
N58;tangerina_cleopatra;26;3;4;0;0
N58;tangerina_cleopatra;26;3;5;0;0
N58;tangerina_cleopatra;26;3;6;0;0
N58;tangerina_cleopatra;26;3;7;0;0
N58;tangerina_cleopatra;26;3;8;0;0
N58;tangerina_cleopatra;26;3;9;0;0
N58;tangerina_cleopatra;26;3;10;0;0
N58;tangerina_cleopatra;26;4;1;0;0
N58;tangerina_cleopatra;26;4;2;0;0
N58;tangerina_cleopatra;26;4;3;0;0
N58;tangerina_cleopatra;26;4;4;0;0
N58;tangerina_cleopatra;26;4;5;0;0
N58;tangerina_cleopatra;26;4;6;0;0
N58;tangerina_cleopatra;26;4;7;0;0
N58;tangerina_cleopatra;26;4;8;0;0
N58;tangerina_cleopatra;26;4;9;0;0
N58;tangerina_cleopatra;26;4;10;0;0
N58;tangerina_cleopatra;26;5;1;0;0
N58;tangerina_cleopatra;26;5;2;0;0
N58;tangerina_cleopatra;26;5;3;0;0
N58;tangerina_cleopatra;26;5;4;0;0
N58;tangerina_cleopatra;26;5;5;0;0
N58;tangerina_cleopatra;26;5;6;0;0
N58;tangerina_cleopatra;26;5;7;0,5;0,038
N58;tangerina_cleopatra;26;5;8;0;0
N58;tangerina_cleopatra;26;5;9;0,5;0,057
N58;tangerina_cleopatra;26;5;10;0;0
N58;tangerina_cleopatra;26;6;1;0;0
N58;tangerina_cleopatra;26;6;2;0;0
N58;tangerina_cleopatra;26;6;3;0,5;0,163
N58;tangerina_cleopatra;26;6;4;0;0
N58;tangerina_cleopatra;26;6;5;0,5;0,079
N58;tangerina_cleopatra;26;6;6;0;0
N58;tangerina_cleopatra;26;6;7;0;0
N58;tangerina_cleopatra;26;6;8;0;0
